,Vx,Vy,H,B,,,,,Constants,
16.84999957,2.690391,1.452141,1.24E+04,2.66E+00,,,,,,
16.89999957,2.611344,1.436393,1.20E+04,2.63E+00,,,,,,
16.94999957,2.531988,1.436393,1.17E+04,2.63E+00,,,,,,
16.99999957,2.45294,1.436393,1.13E+04,2.63E+00,,,,,,
17.04999957,2.373893,1.420583,1.09E+04,2.61E+00,,,,,,
17.09999957,2.373893,1.420583,1.09E+04,2.61E+00,,,,,,
17.14999957,2.294538,1.404774,1.06E+04,2.58E+00,,,,,,
17.19999957,2.21549,1.404774,1.02E+04,2.58E+00,,,,,,
17.24999956,2.136442,1.389026,9.85E+03,2.55E+00,,,,,,
17.29999956,2.057394,1.389026,9.48E+03,2.55E+00,,,,,,
17.34999956,1.978039,1.389026,9.12E+03,2.55E+00,,,,,,
17.39999956,1.898991,1.373216,8.75E+03,2.52E+00,,,,,,
17.44999956,1.819943,1.357468,8.39E+03,2.49E+00,,,,,,
17.49999956,1.740896,1.357468,8.02E+03,2.49E+00,,,,,,
17.54999956,1.66154,1.341659,7.66E+03,2.46E+00,,,,,,
17.59999956,1.582493,1.341659,7.29E+03,2.46E+00,,,,,,
17.64999955,1.503445,1.325849,6.93E+03,2.43E+00,,,,,,
17.69999955,1.345042,1.310101,6.20E+03,2.40E+00,,,,,,
17.74999955,1.265994,1.294291,5.83E+03,2.37E+00,,,,,,
17.79999955,1.186946,1.278543,5.47E+03,2.34E+00,,,,,,
17.84999955,1.186946,1.262734,5.47E+03,2.32E+00,,,,,,
17.89999955,1.028543,1.246924,4.74E+03,2.29E+00,,,,,,
17.94999955,1.028543,1.231176,4.74E+03,2.26E+00,,,,,,
17.99999955,0.9494956,1.215367,4.38E+03,2.23E+00,,,,,,
18.04999954,0.8704478,1.199619,4.01E+03,2.20E+00,,,,,,
18.09999954,0.7910925,1.168,3.65E+03,2.14E+00,,,,,,
18.14999954,0.7120448,1.152251,3.28E+03,2.11E+00,,,,,,
18.19999954,0.7120448,1.136442,3.28E+03,2.08E+00,,,,,,
18.24999954,0.7120448,1.120694,3.28E+03,2.06E+00,,,,,,
18.29999954,0.6329971,1.089075,2.92E+03,2.00E+00,,,,,,
18.34999954,0.5536417,1.057517,2.55E+03,1.94E+00,,,,,,
18.39999954,0.474594,1.041769,2.19E+03,1.91E+00,,,,,,
18.44999953,0.474594,1.010212,2.19E+03,1.85E+00,,,,,,
18.49999953,0.474594,0.9785925,2.19E+03,1.79E+00,,,,,,
18.54999953,0.3955463,0.9628445,1.82E+03,1.77E+00,,,,,,
18.59999953,0.3955463,0.9312869,1.82E+03,1.71E+00,,,,,,
18.64999953,0.3164985,0.8996678,1.46E+03,1.65E+00,,,,,,
18.69999953,0.2371432,0.8681102,1.09E+03,1.59E+00,,,,,,
18.74999953,0.2371432,0.8365527,1.09E+03,1.53E+00,,,,,,
18.79999953,0.1580955,0.8049951,7.29E+02,1.48E+00,,,,,,
18.84999952,0.1580955,0.7734375,7.29E+02,1.42E+00,,,,,,
18.89999952,0.07904774,0.757628,3.64E+02,1.39E+00,,,,,,
18.94999952,0,0.7102608,0.00E+00,1.30E+00,,,,,,
18.99999952,0,0.6787032,0.00E+00,1.24E+00,,,,,,
19.04999952,-0.07904774,0.6471456,-3.64E+02,1.19E+00,,,,,,
19.09999952,-0.1580955,0.6155881,-7.29E+02,1.13E+00,,,,,,
19.14999952,-0.2371432,0.583969,-1.09E+03,1.07E+00,,,,,,
19.19999951,-0.2371432,0.5524114,-1.09E+03,1.01E+00,,,,,,
19.24999951,-0.3164985,0.5208539,-1.46E+03,9.55E-01,,,,,,
19.29999951,-0.3955463,0.4734867,-1.82E+03,8.68E-01,,,,,,
19.34999951,-0.3955463,0.4419291,-1.82E+03,8.11E-01,,,,,,
19.39999951,-0.474594,0.4103716,-2.19E+03,7.53E-01,,,,,,
19.44999951,-0.5536417,0.3630044,-2.55E+03,6.66E-01,,,,,,
19.49999951,-0.6329971,0.3314469,-2.92E+03,6.08E-01,,,,,,
19.54999951,-0.6329971,0.2998893,-2.92E+03,5.50E-01,,,,,,
19.5999995,-0.7120448,0.2525221,-3.28E+03,4.63E-01,,,,,,
19.6499995,-0.7910925,0.2209646,-3.65E+03,4.05E-01,,,,,,
19.6999995,-0.7910925,0.1735975,-3.65E+03,3.18E-01,,,,,,
19.7499995,-0.8704478,0.1420399,-4.01E+03,2.61E-01,,,,,,
19.7999995,-0.9494956,0.09467274,-4.38E+03,1.74E-01,,,,,,
19.8499995,-1.028543,0.06311516,-4.74E+03,1.16E-01,,,,,,
19.8999995,-1.107591,0.01574803,-5.10E+03,2.89E-02,,,,,,
19.9499995,-1.186946,-0.01574803,-5.47E+03,-2.89E-02,,,,,,
19.99999949,-1.186946,-0.06311516,-5.47E+03,-1.16E-01,,,,,,
20.04999949,-1.265994,-0.09467274,-5.83E+03,-1.74E-01,,,,,,
20.09999949,-1.345042,-0.1420399,-6.20E+03,-2.61E-01,,,,,,
20.14999949,-1.42409,-0.1735975,-6.56E+03,-3.18E-01,,,,,,
20.19999949,-1.503445,-0.2209646,-6.93E+03,-4.05E-01,,,,,,
20.24999949,-1.503445,-0.2525221,-6.93E+03,-4.63E-01,,,,,,
20.29999949,-1.582493,-0.2998893,-7.29E+03,-5.50E-01,,,,,,
20.34999949,-1.66154,-0.3314469,-7.66E+03,-6.08E-01,,,,,,
20.39999948,-1.66154,-0.378814,-7.66E+03,-6.95E-01,,,,,,
20.44999948,-1.740896,-0.4103716,-8.02E+03,-7.53E-01,,,,,,
20.49999948,-1.819943,-0.4577387,-8.39E+03,-8.39E-01,,,,,,
20.54999948,-1.898991,-0.5051058,-8.75E+03,-9.26E-01,,,,,,
20.59999948,-1.978039,-0.5366634,-9.12E+03,-9.84E-01,,,,,,
20.64999948,-2.057394,-0.583969,-9.48E+03,-1.07E+00,,,,,,
20.69999948,-2.057394,-0.6155881,-9.48E+03,-1.13E+00,,,,,,
20.74999948,-2.136442,-0.6471456,-9.85E+03,-1.19E+00,,,,,,
20.79999947,-2.21549,-0.6945128,-1.02E+04,-1.27E+00,,,,,,
20.84999947,-2.294538,-0.7260704,-1.06E+04,-1.33E+00,,,,,,
20.89999947,-2.373893,-0.7734375,-1.09E+04,-1.42E+00,,,,,,
20.94999947,-2.45294,-0.8207431,-1.13E+04,-1.51E+00,,,,,,
20.99999947,-2.45294,-0.8523622,-1.13E+04,-1.56E+00,,,,,,
21.04999947,-2.531988,-0.8839197,-1.17E+04,-1.62E+00,,,,,,
21.09999947,-2.611344,-0.9154773,-1.20E+04,-1.68E+00,,,,,,
21.14999947,-2.690391,-0.9628445,-1.24E+04,-1.77E+00,,,,,,
21.19999946,-2.769439,-0.9944021,-1.28E+04,-1.82E+00,,,,,,
21.24999946,-2.769439,-1.041769,-1.28E+04,-1.91E+00,,,,,,
21.29999946,-2.848487,-1.073327,-1.31E+04,-1.97E+00,,,,,,
21.34999946,-2.927842,-1.104884,-1.35E+04,-2.03E+00,,,,,,
21.39999946,-3.00689,-1.152251,-1.39E+04,-2.11E+00,,,,,,
21.44999946,-3.085938,-1.183809,-1.42E+04,-2.17E+00,,,,,,
21.49999946,-3.164985,-1.215367,-1.46E+04,-2.23E+00,,,,,,
21.54999946,-3.24434,-1.246924,-1.50E+04,-2.29E+00,,,,,,
21.59999945,-3.24434,-1.278543,-1.50E+04,-2.34E+00,,,,,,
21.64999945,-3.323388,-1.310101,-1.53E+04,-2.40E+00,,,,,,
21.69999945,-3.402436,-1.341659,-1.57E+04,-2.46E+00,,,,,,
21.74999945,-3.481791,-1.373216,-1.60E+04,-2.52E+00,,,,,,
21.79999945,-3.560839,-1.404774,-1.64E+04,-2.58E+00,,,,,,
21.84999945,-3.639887,-1.420583,-1.68E+04,-2.61E+00,,,,,,
21.89999945,-3.718935,-1.452141,-1.71E+04,-2.66E+00,,,,,,
21.94999945,-3.718935,-1.46795,-1.71E+04,-2.69E+00,,,,,,
21.99999944,-3.877337,-1.483698,-1.79E+04,-2.72E+00,,,,,,
22.04999944,-3.956385,-1.499508,-1.82E+04,-2.75E+00,,,,,,
22.09999944,-4.035433,-1.515317,-1.86E+04,-2.78E+00,,,,,,
22.14999944,-4.114789,-1.531065,-1.90E+04,-2.81E+00,,,,,,
22.19999944,-4.272884,-1.546875,-1.97E+04,-2.84E+00,,,,,,
22.24999944,-4.352239,-1.546875,-2.01E+04,-2.84E+00,,,,,,
22.29999944,-4.431287,-1.562623,-2.04E+04,-2.87E+00,,,,,,
22.34999944,-4.510335,-1.578433,-2.08E+04,-2.89E+00,,,,,,
22.39999943,-4.589382,-1.578433,-2.11E+04,-2.89E+00,,,,,,
22.44999943,-4.668737,-1.578433,-2.15E+04,-2.89E+00,,,,,,
22.49999943,-4.747786,-1.594181,-2.19E+04,-2.92E+00,,,,,,
22.54999943,-4.747786,-1.594181,-2.19E+04,-2.92E+00,,,,,,
22.59999943,-4.826833,-1.594181,-2.22E+04,-2.92E+00,,,,,,
22.64999943,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
22.69999943,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
22.74999943,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
22.79999942,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
22.84999942,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
22.89999942,-5.143332,-1.60999,-2.37E+04,-2.95E+00,,,,,,
22.94999942,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
22.99999942,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
23.04999942,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
23.09999942,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
23.14999942,-5.143332,-1.641548,-2.37E+04,-3.01E+00,,,,,,
23.19999941,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
23.24999941,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
23.29999941,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
23.34999941,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
23.39999941,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
23.44999941,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
23.49999941,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
23.54999941,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
23.5999994,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
23.6499994,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
23.6999994,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
23.7499994,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
23.7999994,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
23.8499994,-5.380783,-1.641548,-2.48E+04,-3.01E+00,,,,,,
23.8999994,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
23.94999939,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
23.99999939,-5.380783,-1.6258,-2.48E+04,-2.98E+00,,,,,,
24.04999939,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
24.09999939,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
24.14999939,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
24.19999939,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
24.24999939,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
24.29999939,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
24.34999938,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
24.39999938,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
24.44999938,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
24.49999938,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
24.54999938,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
24.59999938,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
24.64999938,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
24.69999938,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
24.74999937,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
24.79999937,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
24.84999937,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
24.89999937,-4.826833,-1.60999,-2.22E+04,-2.95E+00,,,,,,
24.94999937,-4.826833,-1.60999,-2.22E+04,-2.95E+00,,,,,,
24.99999937,-4.747786,-1.60999,-2.19E+04,-2.95E+00,,,,,,
25.04999937,-4.747786,-1.594181,-2.19E+04,-2.92E+00,,,,,,
25.09999937,-4.589382,-1.594181,-2.11E+04,-2.92E+00,,,,,,
25.14999936,-4.589382,-1.594181,-2.11E+04,-2.92E+00,,,,,,
25.19999936,-4.589382,-1.578433,-2.11E+04,-2.89E+00,,,,,,
25.24999936,-4.510335,-1.594181,-2.08E+04,-2.92E+00,,,,,,
25.29999936,-4.431287,-1.578433,-2.04E+04,-2.89E+00,,,,,,
25.34999936,-4.352239,-1.578433,-2.01E+04,-2.89E+00,,,,,,
25.39999936,-4.352239,-1.578433,-2.01E+04,-2.89E+00,,,,,,
25.44999936,-4.272884,-1.578433,-1.97E+04,-2.89E+00,,,,,,
25.49999936,-4.193836,-1.562623,-1.93E+04,-2.87E+00,,,,,,
25.54999935,-4.114789,-1.562623,-1.90E+04,-2.87E+00,,,,,,
25.59999935,-4.114789,-1.562623,-1.90E+04,-2.87E+00,,,,,,
25.64999935,-4.035433,-1.562623,-1.86E+04,-2.87E+00,,,,,,
25.69999935,-3.956385,-1.546875,-1.82E+04,-2.84E+00,,,,,,
25.74999935,-3.877337,-1.546875,-1.79E+04,-2.84E+00,,,,,,
25.79999935,-3.877337,-1.546875,-1.79E+04,-2.84E+00,,,,,,
25.84999935,-3.79829,-1.546875,-1.75E+04,-2.84E+00,,,,,,
25.89999935,-3.718935,-1.531065,-1.71E+04,-2.81E+00,,,,,,
25.94999934,-3.718935,-1.531065,-1.71E+04,-2.81E+00,,,,,,
25.99999934,-3.639887,-1.531065,-1.68E+04,-2.81E+00,,,,,,
26.04999934,-3.560839,-1.531065,-1.64E+04,-2.81E+00,,,,,,
26.09999934,-3.560839,-1.531065,-1.64E+04,-2.81E+00,,,,,,
26.14999934,-3.481791,-1.515317,-1.60E+04,-2.78E+00,,,,,,
26.19999934,-3.402436,-1.515317,-1.57E+04,-2.78E+00,,,,,,
26.24999934,-3.323388,-1.515317,-1.53E+04,-2.78E+00,,,,,,
26.29999934,-3.24434,-1.499508,-1.50E+04,-2.75E+00,,,,,,
26.34999933,-3.24434,-1.499508,-1.50E+04,-2.75E+00,,,,,,
26.39999933,-3.164985,-1.499508,-1.46E+04,-2.75E+00,,,,,,
26.44999933,-3.085938,-1.499508,-1.42E+04,-2.75E+00,,,,,,
26.49999933,-3.085938,-1.483698,-1.42E+04,-2.72E+00,,,,,,
26.54999933,-3.00689,-1.483698,-1.39E+04,-2.72E+00,,,,,,
26.59999933,-2.927842,-1.46795,-1.35E+04,-2.69E+00,,,,,,
26.64999933,-2.848487,-1.46795,-1.31E+04,-2.69E+00,,,,,,
26.69999933,-2.769439,-1.46795,-1.28E+04,-2.69E+00,,,,,,
26.74999932,-2.769439,-1.452141,-1.28E+04,-2.66E+00,,,,,,
26.79999932,-2.611344,-1.452141,-1.20E+04,-2.66E+00,,,,,,
26.84999932,-2.611344,-1.452141,-1.20E+04,-2.66E+00,,,,,,
26.89999932,-2.531988,-1.436393,-1.17E+04,-2.63E+00,,,,,,
26.94999932,-2.45294,-1.436393,-1.13E+04,-2.63E+00,,,,,,
26.99999932,-2.45294,-1.436393,-1.13E+04,-2.63E+00,,,,,,
27.04999932,-2.373893,-1.420583,-1.09E+04,-2.61E+00,,,,,,
27.09999932,-2.294538,-1.420583,-1.06E+04,-2.61E+00,,,,,,
27.14999931,-2.21549,-1.404774,-1.02E+04,-2.58E+00,,,,,,
27.19999931,-2.136442,-1.404774,-9.85E+03,-2.58E+00,,,,,,
27.24999931,-2.057394,-1.404774,-9.48E+03,-2.58E+00,,,,,,
27.29999931,-1.978039,-1.389026,-9.12E+03,-2.55E+00,,,,,,
27.34999931,-1.898991,-1.389026,-8.75E+03,-2.55E+00,,,,,,
27.39999931,-1.819943,-1.373216,-8.39E+03,-2.52E+00,,,,,,
27.44999931,-1.740896,-1.357468,-8.02E+03,-2.49E+00,,,,,,
27.49999931,-1.66154,-1.357468,-7.66E+03,-2.49E+00,,,,,,
27.5499993,-1.582493,-1.341659,-7.29E+03,-2.46E+00,,,,,,
27.5999993,-1.503445,-1.341659,-6.93E+03,-2.46E+00,,,,,,
27.6499993,-1.345042,-1.325849,-6.20E+03,-2.43E+00,,,,,,
27.6999993,-1.265994,-1.310101,-5.83E+03,-2.40E+00,,,,,,
27.7499993,-1.186946,-1.294291,-5.47E+03,-2.37E+00,,,,,,
27.7999993,-1.107591,-1.278543,-5.10E+03,-2.34E+00,,,,,,
27.8499993,-1.028543,-1.262734,-4.74E+03,-2.32E+00,,,,,,
27.8999993,-0.9494956,-1.262734,-4.38E+03,-2.32E+00,,,,,,
27.94999929,-0.8704478,-1.231176,-4.01E+03,-2.26E+00,,,,,,
27.99999929,-0.8704478,-1.215367,-4.01E+03,-2.23E+00,,,,,,
28.04999929,-0.7910925,-1.199619,-3.65E+03,-2.20E+00,,,,,,
28.09999929,-0.7120448,-1.183809,-3.28E+03,-2.17E+00,,,,,,
28.14999929,-0.6329971,-1.168,-2.92E+03,-2.14E+00,,,,,,
28.19999929,-0.6329971,-1.152251,-2.92E+03,-2.11E+00,,,,,,
28.24999929,-0.5536417,-1.120694,-2.55E+03,-2.06E+00,,,,,,
28.29999929,-0.474594,-1.089075,-2.19E+03,-2.00E+00,,,,,,
28.34999928,-0.474594,-1.073327,-2.19E+03,-1.97E+00,,,,,,
28.39999928,-0.474594,-1.041769,-2.19E+03,-1.91E+00,,,,,,
28.44999928,-0.3955463,-1.02596,-1.82E+03,-1.88E+00,,,,,,
28.49999928,-0.3955463,-0.9944021,-1.82E+03,-1.82E+00,,,,,,
28.54999928,-0.3164985,-0.9628445,-1.46E+03,-1.77E+00,,,,,,
28.59999928,-0.3164985,-0.9312869,-1.46E+03,-1.71E+00,,,,,,
28.64999928,-0.2371432,-0.9154773,-1.09E+03,-1.68E+00,,,,,,
28.69999927,-0.1580955,-0.8839197,-7.29E+02,-1.62E+00,,,,,,
28.74999927,-0.1580955,-0.8681102,-7.29E+02,-1.59E+00,,,,,,
28.79999927,-0.07904774,-0.8207431,-3.64E+02,-1.51E+00,,,,,,
28.84999927,-0.07904774,-0.7891855,-3.64E+02,-1.45E+00,,,,,,
28.89999927,0.07904774,-0.757628,3.64E+02,-1.39E+00,,,,,,
28.94999927,0.07904774,-0.7260704,3.64E+02,-1.33E+00,,,,,,
28.99999927,0.07904774,-0.6945128,3.64E+02,-1.27E+00,,,,,,
29.04999927,0.1580955,-0.6628937,7.29E+02,-1.22E+00,,,,,,
29.09999926,0.2371432,-0.6313361,1.09E+03,-1.16E+00,,,,,,
29.14999926,0.3164985,-0.5997785,1.46E+03,-1.10E+00,,,,,,
29.19999926,0.3164985,-0.568221,1.46E+03,-1.04E+00,,,,,,
29.24999926,0.3955463,-0.5366634,1.82E+03,-9.84E-01,,,,,,
29.29999926,0.474594,-0.4892963,2.19E+03,-8.97E-01,,,,,,
29.34999926,0.5536417,-0.4577387,2.55E+03,-8.39E-01,,,,,,
29.39999926,0.5536417,-0.4261811,2.55E+03,-7.82E-01,,,,,,
29.44999926,0.6329971,-0.378814,2.92E+03,-6.95E-01,,,,,,
29.49999925,0.6329971,-0.3472564,2.92E+03,-6.37E-01,,,,,,
29.54999925,0.7910925,-0.3156373,3.65E+03,-5.79E-01,,,,,,
29.59999925,0.7910925,-0.2683317,3.65E+03,-4.92E-01,,,,,,
29.64999925,0.8704478,-0.2367126,4.01E+03,-4.34E-01,,,,,,
29.69999925,0.9494956,-0.189407,4.38E+03,-3.47E-01,,,,,,
29.74999925,1.028543,-0.1577879,4.74E+03,-2.89E-01,,,,,,
29.79999925,1.028543,-0.1104823,4.74E+03,-2.03E-01,,,,,,
29.84999925,1.107591,-0.07886319,5.10E+03,-1.45E-01,,,,,,
29.89999924,1.186946,-0.03155758,5.47E+03,-5.79E-02,,,,,,
29.94999924,1.186946,0,5.47E+03,0.00E+00,,,,,,
29.99999924,1.265994,0.04730561,5.83E+03,8.68E-02,,,,,,
30.04999924,1.345042,0.07886319,6.20E+03,1.45E-01,,,,,,
30.09999924,1.42409,0.1262303,6.56E+03,2.32E-01,,,,,,
30.14999924,1.503445,0.1577879,6.93E+03,2.89E-01,,,,,,
30.19999924,1.503445,0.205155,6.93E+03,3.76E-01,,,,,,
30.24999924,1.582493,0.2367126,7.29E+03,4.34E-01,,,,,,
30.29999923,1.66154,0.2840797,7.66E+03,5.21E-01,,,,,,
30.34999923,1.740896,0.3314469,8.02E+03,6.08E-01,,,,,,
30.39999923,1.740896,0.3630044,8.02E+03,6.66E-01,,,,,,
30.44999923,1.819943,0.4103716,8.39E+03,7.53E-01,,,,,,
30.49999923,1.898991,0.4419291,8.75E+03,8.11E-01,,,,,,
30.54999923,1.978039,0.4734867,9.12E+03,8.68E-01,,,,,,
30.59999923,2.057394,0.5208539,9.48E+03,9.55E-01,,,,,,
30.64999923,2.057394,0.568221,9.48E+03,1.04E+00,,,,,,
30.69999922,2.136442,0.5997785,9.85E+03,1.10E+00,,,,,,
30.74999922,2.21549,0.6313361,1.02E+04,1.16E+00,,,,,,
30.79999922,2.294538,0.6787032,1.06E+04,1.24E+00,,,,,,
30.84999922,2.373893,0.7102608,1.09E+04,1.30E+00,,,,,,
30.89999922,2.45294,0.757628,1.13E+04,1.39E+00,,,,,,
30.94999922,2.531988,0.7891855,1.17E+04,1.45E+00,,,,,,
30.99999922,2.611344,0.8365527,1.20E+04,1.53E+00,,,,,,
31.04999922,2.611344,0.8681102,1.20E+04,1.59E+00,,,,,,
31.09999921,2.690391,0.9154773,1.24E+04,1.68E+00,,,,,,
31.14999921,2.690391,0.947035,1.24E+04,1.74E+00,,,,,,
31.19999921,2.848487,0.9785925,1.31E+04,1.79E+00,,,,,,
31.24999921,2.927842,1.02596,1.35E+04,1.88E+00,,,,,,
31.29999921,2.927842,1.057517,1.35E+04,1.94E+00,,,,,,
31.34999921,3.00689,1.089075,1.39E+04,2.00E+00,,,,,,
31.39999921,3.085938,1.120694,1.42E+04,2.06E+00,,,,,,
31.44999921,3.164985,1.152251,1.46E+04,2.11E+00,,,,,,
31.4999992,3.24434,1.199619,1.50E+04,2.20E+00,,,,,,
31.5499992,3.323388,1.231176,1.53E+04,2.26E+00,,,,,,
31.5999992,3.323388,1.262734,1.53E+04,2.32E+00,,,,,,
31.6499992,3.402436,1.294291,1.57E+04,2.37E+00,,,,,,
31.6999992,3.481791,1.325849,1.60E+04,2.43E+00,,,,,,
31.7499992,3.560839,1.357468,1.64E+04,2.49E+00,,,,,,
31.7999992,3.639887,1.389026,1.68E+04,2.55E+00,,,,,,
31.8499992,3.718935,1.404774,1.71E+04,2.58E+00,,,,,,
31.89999919,3.79829,1.436393,1.75E+04,2.63E+00,,,,,,
31.94999919,3.877337,1.452141,1.79E+04,2.66E+00,,,,,,
31.99999919,3.956385,1.483698,1.82E+04,2.72E+00,,,,,,
32.04999919,4.035433,1.499508,1.86E+04,2.75E+00,,,,,,
32.09999919,4.114789,1.515317,1.90E+04,2.78E+00,,,,,,
32.14999919,4.193836,1.531065,1.93E+04,2.81E+00,,,,,,
32.19999919,4.352239,1.546875,2.01E+04,2.84E+00,,,,,,
32.24999919,4.431287,1.546875,2.04E+04,2.84E+00,,,,,,
32.29999918,4.431287,1.562623,2.04E+04,2.87E+00,,,,,,
32.34999918,4.589382,1.562623,2.11E+04,2.87E+00,,,,,,
32.39999918,4.668737,1.578433,2.15E+04,2.89E+00,,,,,,
32.44999918,4.668737,1.578433,2.15E+04,2.89E+00,,,,,,
32.49999918,4.747786,1.594181,2.19E+04,2.92E+00,,,,,,
32.54999918,4.826833,1.594181,2.22E+04,2.92E+00,,,,,,
32.59999918,4.826833,1.594181,2.22E+04,2.92E+00,,,,,,
32.64999918,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
32.69999917,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
32.74999917,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
32.79999917,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
32.84999917,5.143332,1.60999,2.37E+04,2.95E+00,,,,,,
32.89999917,5.143332,1.6258,2.37E+04,2.98E+00,,,,,,
32.94999917,5.143332,1.6258,2.37E+04,2.98E+00,,,,,,
32.99999917,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
33.04999917,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
33.09999916,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
33.14999916,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
33.19999916,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
33.24999916,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
33.29999916,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
33.34999916,5.301735,1.641548,2.44E+04,3.01E+00,,,,,,
33.39999916,5.301735,1.641548,2.44E+04,3.01E+00,,,,,,
33.44999915,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
