,Vx,Vy,H,B,,,,,Constants,
33.49999915,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
33.54999915,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
33.59999915,5.301735,1.641548,2.44E+04,3.01E+00,,,,,,
33.64999915,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
33.69999915,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
33.74999915,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
33.79999915,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
33.84999914,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
33.89999914,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
33.94999914,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
33.99999914,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
34.04999914,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
34.09999914,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
34.14999914,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
34.19999914,5.45983,1.641548,2.52E+04,3.01E+00,,,,,,
34.24999913,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
34.29999913,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
34.34999913,5.380783,1.641548,2.48E+04,3.01E+00,,,,,,
34.39999913,5.380783,1.6258,2.48E+04,2.98E+00,,,,,,
34.44999913,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
34.49999913,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
34.54999913,5.301735,1.6258,2.44E+04,2.98E+00,,,,,,
34.59999913,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
34.64999912,5.222687,1.6258,2.41E+04,2.98E+00,,,,,,
34.69999912,5.143332,1.6258,2.37E+04,2.98E+00,,,,,,
34.74999912,5.064284,1.6258,2.33E+04,2.98E+00,,,,,,
34.79999912,5.064284,1.60999,2.33E+04,2.95E+00,,,,,,
34.84999912,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
34.89999912,4.985236,1.60999,2.30E+04,2.95E+00,,,,,,
34.94999912,4.905881,1.60999,2.26E+04,2.95E+00,,,,,,
34.99999912,4.826833,1.60999,2.22E+04,2.95E+00,,,,,,
35.04999911,4.826833,1.594181,2.22E+04,2.92E+00,,,,,,
35.09999911,4.747786,1.594181,2.19E+04,2.92E+00,,,,,,
35.14999911,4.668737,1.594181,2.15E+04,2.92E+00,,,,,,
35.19999911,4.668737,1.594181,2.15E+04,2.92E+00,,,,,,
35.24999911,4.589382,1.594181,2.11E+04,2.92E+00,,,,,,
35.29999911,4.510335,1.578433,2.08E+04,2.89E+00,,,,,,
35.34999911,4.510335,1.578433,2.08E+04,2.89E+00,,,,,,
35.39999911,4.352239,1.578433,2.01E+04,2.89E+00,,,,,,
35.4499991,4.352239,1.578433,2.01E+04,2.89E+00,,,,,,
35.4999991,4.272884,1.578433,1.97E+04,2.89E+00,,,,,,
35.5499991,4.193836,1.562623,1.93E+04,2.87E+00,,,,,,
35.5999991,4.193836,1.562623,1.93E+04,2.87E+00,,,,,,
35.6499991,4.114789,1.562623,1.90E+04,2.87E+00,,,,,,
35.6999991,4.114789,1.562623,1.90E+04,2.87E+00,,,,,,
35.7499991,4.035433,1.546875,1.86E+04,2.84E+00,,,,,,
35.7999991,3.956385,1.546875,1.82E+04,2.84E+00,,,,,,
35.84999909,3.956385,1.546875,1.82E+04,2.84E+00,,,,,,
35.89999909,3.877337,1.546875,1.79E+04,2.84E+00,,,,,,
35.94999909,3.79829,1.531065,1.75E+04,2.81E+00,,,,,,
35.99999909,3.718935,1.531065,1.71E+04,2.81E+00,,,,,,
36.04999909,3.718935,1.531065,1.71E+04,2.81E+00,,,,,,
36.09999909,3.639887,1.531065,1.68E+04,2.81E+00,,,,,,
36.14999909,3.560839,1.515317,1.64E+04,2.78E+00,,,,,,
36.19999909,3.481791,1.515317,1.60E+04,2.78E+00,,,,,,
36.24999908,3.481791,1.515317,1.60E+04,2.78E+00,,,,,,
36.29999908,3.402436,1.499508,1.57E+04,2.75E+00,,,,,,
36.34999908,3.323388,1.499508,1.53E+04,2.75E+00,,,,,,
36.39999908,3.24434,1.499508,1.50E+04,2.75E+00,,,,,,
36.44999908,3.24434,1.483698,1.50E+04,2.72E+00,,,,,,
36.49999908,3.164985,1.483698,1.46E+04,2.72E+00,,,,,,
36.54999908,3.085938,1.483698,1.42E+04,2.72E+00,,,,,,
36.59999908,3.00689,1.483698,1.39E+04,2.72E+00,,,,,,
36.64999907,2.927842,1.46795,1.35E+04,2.69E+00,,,,,,
36.69999907,2.848487,1.46795,1.31E+04,2.69E+00,,,,,,
36.74999907,2.848487,1.46795,1.31E+04,2.69E+00,,,,,,
36.79999907,2.769439,1.452141,1.28E+04,2.66E+00,,,,,,
36.84999907,2.690391,1.452141,1.24E+04,2.66E+00,,,,,,
36.89999907,2.611344,1.436393,1.20E+04,2.63E+00,,,,,,
36.94999907,2.611344,1.436393,1.20E+04,2.63E+00,,,,,,
36.99999907,2.531988,1.436393,1.17E+04,2.63E+00,,,,,,
37.04999906,2.45294,1.420583,1.13E+04,2.61E+00,,,,,,
37.09999906,2.373893,1.420583,1.09E+04,2.61E+00,,,,,,
37.14999906,2.294538,1.420583,1.06E+04,2.61E+00,,,,,,
37.19999906,2.21549,1.404774,1.02E+04,2.58E+00,,,,,,
37.24999906,2.21549,1.404774,1.02E+04,2.58E+00,,,,,,
37.29999906,2.136442,1.389026,9.85E+03,2.55E+00,,,,,,
37.34999906,2.057394,1.389026,9.48E+03,2.55E+00,,,,,,
37.39999906,1.898991,1.373216,8.75E+03,2.52E+00,,,,,,
37.44999905,1.819943,1.373216,8.39E+03,2.52E+00,,,,,,
37.49999905,1.740896,1.357468,8.02E+03,2.49E+00,,,,,,
37.54999905,1.66154,1.357468,7.66E+03,2.49E+00,,,,,,
37.59999905,1.582493,1.341659,7.29E+03,2.46E+00,,,,,,
37.64999905,1.503445,1.325849,6.93E+03,2.43E+00,,,,,,
37.69999905,1.42409,1.310101,6.56E+03,2.40E+00,,,,,,
37.74999905,1.345042,1.294291,6.20E+03,2.37E+00,,,,,,
37.79999905,1.265994,1.294291,5.83E+03,2.37E+00,,,,,,
37.84999904,1.186946,1.278543,5.47E+03,2.34E+00,,,,,,
37.89999904,1.107591,1.262734,5.10E+03,2.32E+00,,,,,,
37.94999904,1.028543,1.246924,4.74E+03,2.29E+00,,,,,,
37.99999904,0.9494956,1.215367,4.38E+03,2.23E+00,,,,,,
38.04999904,0.8704478,1.199619,4.01E+03,2.20E+00,,,,,,
38.09999904,0.7910925,1.183809,3.65E+03,2.17E+00,,,,,,
38.14999904,0.7910925,1.168,3.65E+03,2.14E+00,,,,,,
38.19999903,0.7120448,1.136442,3.28E+03,2.08E+00,,,,,,
38.24999903,0.7120448,1.120694,3.28E+03,2.06E+00,,,,,,
38.29999903,0.6329971,1.104884,2.92E+03,2.03E+00,,,,,,
38.34999903,0.6329971,1.073327,2.92E+03,1.97E+00,,,,,,
38.39999903,0.5536417,1.041769,2.55E+03,1.91E+00,,,,,,
38.44999903,0.5536417,1.02596,2.55E+03,1.88E+00,,,,,,
38.49999903,0.474594,0.9944021,2.19E+03,1.82E+00,,,,,,
38.54999903,0.3955463,0.9628445,1.82E+03,1.77E+00,,,,,,
38.59999902,0.3955463,0.947035,1.82E+03,1.74E+00,,,,,,
38.64999902,0.3164985,0.9154773,1.46E+03,1.68E+00,,,,,,
38.69999902,0.2371432,0.8839197,1.09E+03,1.62E+00,,,,,,
38.74999902,0.2371432,0.8523622,1.09E+03,1.56E+00,,,,,,
38.79999902,0.1580955,0.8207431,7.29E+02,1.51E+00,,,,,,
38.84999902,0.1580955,0.7891855,7.29E+02,1.45E+00,,,,,,
38.89999902,0.07904774,0.757628,3.64E+02,1.39E+00,,,,,,
38.94999902,0.07904774,0.7260704,3.64E+02,1.33E+00,,,,,,
38.99999901,0,0.6945128,0.00E+00,1.27E+00,,,,,,
39.04999901,-0.07904774,0.6628937,-3.64E+02,1.22E+00,,,,,,
39.09999901,-0.1580955,0.6313361,-7.29E+02,1.16E+00,,,,,,
39.14999901,-0.1580955,0.5997785,-7.29E+02,1.10E+00,,,,,,
39.19999901,-0.2371432,0.568221,-1.09E+03,1.04E+00,,,,,,
39.24999901,-0.3164985,0.5208539,-1.46E+03,9.55E-01,,,,,,
39.29999901,-0.3955463,0.4892963,-1.82E+03,8.97E-01,,,,,,
39.34999901,-0.3955463,0.4577387,-1.82E+03,8.39E-01,,,,,,
39.399999,-0.474594,0.4261811,-2.19E+03,7.82E-01,,,,,,
39.449999,-0.5536417,0.378814,-2.55E+03,6.95E-01,,,,,,
39.499999,-0.5536417,0.3472564,-2.55E+03,6.37E-01,,,,,,
39.549999,-0.6329971,0.3156373,-2.92E+03,5.79E-01,,,,,,
39.599999,-0.7120448,0.2683317,-3.28E+03,4.92E-01,,,,,,
39.649999,-0.7910925,0.2367126,-3.65E+03,4.34E-01,,,,,,
39.699999,-0.8704478,0.189407,-4.01E+03,3.47E-01,,,,,,
39.749999,-0.8704478,0.1577879,-4.01E+03,2.89E-01,,,,,,
39.79999899,-0.9494956,0.1104823,-4.38E+03,2.03E-01,,,,,,
39.84999899,-1.028543,0.07886319,-4.74E+03,1.45E-01,,,,,,
39.89999899,-1.107591,0.03155758,-5.10E+03,5.79E-02,,,,,,
39.94999899,-1.186946,0,-5.47E+03,0.00E+00,,,,,,
39.99999899,-1.186946,-0.04730561,-5.47E+03,-8.68E-02,,,,,,
40.04999899,-1.265994,-0.07886319,-5.83E+03,-1.45E-01,,,,,,
40.09999899,-1.345042,-0.1262303,-6.20E+03,-2.32E-01,,,,,,
40.14999899,-1.345042,-0.1577879,-6.20E+03,-2.89E-01,,,,,,
40.19999898,-1.42409,-0.205155,-6.56E+03,-3.76E-01,,,,,,
40.24999898,-1.503445,-0.2525221,-6.93E+03,-4.63E-01,,,,,,
40.29999898,-1.503445,-0.2840797,-6.93E+03,-5.21E-01,,,,,,
40.34999898,-1.582493,-0.3314469,-7.29E+03,-6.08E-01,,,,,,
40.39999898,-1.66154,-0.3630044,-7.66E+03,-6.66E-01,,,,,,
40.44999898,-1.740896,-0.4103716,-8.02E+03,-7.53E-01,,,,,,
40.49999898,-1.740896,-0.4419291,-8.02E+03,-8.11E-01,,,,,,
40.54999898,-1.898991,-0.4892963,-8.75E+03,-8.97E-01,,,,,,
40.59999897,-1.898991,-0.5208539,-8.75E+03,-9.55E-01,,,,,,
40.64999897,-1.978039,-0.568221,-9.12E+03,-1.04E+00,,,,,,
40.69999897,-2.057394,-0.5997785,-9.48E+03,-1.10E+00,,,,,,
40.74999897,-2.136442,-0.6471456,-9.85E+03,-1.19E+00,,,,,,
40.79999897,-2.21549,-0.6787032,-1.02E+04,-1.24E+00,,,,,,
40.84999897,-2.21549,-0.7260704,-1.02E+04,-1.33E+00,,,,,,
40.89999897,-2.294538,-0.757628,-1.06E+04,-1.39E+00,,,,,,
40.94999897,-2.373893,-0.8049951,-1.09E+04,-1.48E+00,,,,,,
40.99999896,-2.45294,-0.8365527,-1.13E+04,-1.53E+00,,,,,,
41.04999896,-2.531988,-0.8839197,-1.17E+04,-1.62E+00,,,,,,
41.09999896,-2.611344,-0.9154773,-1.20E+04,-1.68E+00,,,,,,
41.14999896,-2.611344,-0.947035,-1.20E+04,-1.74E+00,,,,,,
41.19999896,-2.769439,-0.9944021,-1.28E+04,-1.82E+00,,,,,,
41.24999896,-2.769439,-1.02596,-1.28E+04,-1.88E+00,,,,,,
41.29999896,-2.848487,-1.057517,-1.31E+04,-1.94E+00,,,,,,
41.34999896,-2.927842,-1.104884,-1.35E+04,-2.03E+00,,,,,,
41.39999895,-2.927842,-1.136442,-1.35E+04,-2.08E+00,,,,,,
41.44999895,-3.00689,-1.168,-1.39E+04,-2.14E+00,,,,,,
41.49999895,-3.085938,-1.199619,-1.42E+04,-2.20E+00,,,,,,
41.54999895,-3.164985,-1.231176,-1.46E+04,-2.26E+00,,,,,,
41.59999895,-3.24434,-1.262734,-1.50E+04,-2.32E+00,,,,,,
41.64999895,-3.323388,-1.294291,-1.53E+04,-2.37E+00,,,,,,
41.69999895,-3.402436,-1.325849,-1.57E+04,-2.43E+00,,,,,,
41.74999895,-3.481791,-1.357468,-1.60E+04,-2.49E+00,,,,,,
41.79999894,-3.560839,-1.389026,-1.64E+04,-2.55E+00,,,,,,
41.84999894,-3.639887,-1.420583,-1.68E+04,-2.61E+00,,,,,,
41.89999894,-3.639887,-1.436393,-1.68E+04,-2.63E+00,,,,,,
41.94999894,-3.79829,-1.46795,-1.75E+04,-2.69E+00,,,,,,
41.99999894,-3.877337,-1.483698,-1.79E+04,-2.72E+00,,,,,,
42.04999894,-3.956385,-1.499508,-1.82E+04,-2.75E+00,,,,,,
42.09999894,-4.035433,-1.515317,-1.86E+04,-2.78E+00,,,,,,
42.14999894,-4.114789,-1.531065,-1.90E+04,-2.81E+00,,,,,,
42.19999893,-4.193836,-1.546875,-1.93E+04,-2.84E+00,,,,,,
42.24999893,-4.272884,-1.546875,-1.97E+04,-2.84E+00,,,,,,
42.29999893,-4.431287,-1.562623,-2.04E+04,-2.87E+00,,,,,,
42.34999893,-4.510335,-1.562623,-2.08E+04,-2.87E+00,,,,,,
42.39999893,-4.589382,-1.578433,-2.11E+04,-2.89E+00,,,,,,
42.44999893,-4.589382,-1.578433,-2.11E+04,-2.89E+00,,,,,,
42.49999893,-4.668737,-1.594181,-2.15E+04,-2.92E+00,,,,,,
42.54999893,-4.747786,-1.594181,-2.19E+04,-2.92E+00,,,,,,
42.59999892,-4.826833,-1.594181,-2.22E+04,-2.92E+00,,,,,,
42.64999892,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
42.69999892,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
42.74999892,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
42.79999892,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
42.84999892,-5.064284,-1.60999,-2.33E+04,-2.95E+00,,,,,,
42.89999892,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
42.94999891,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
42.99999891,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
43.04999891,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
43.09999891,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.14999891,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.19999891,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.24999891,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.29999891,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.3499989,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.3999989,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
43.4499989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.4999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.5499989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.5999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.6499989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.6999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.74999889,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
43.79999889,-5.380783,-1.641548,-2.48E+04,-3.01E+00,,,,,,
43.84999889,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
43.89999889,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
43.94999889,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
43.99999889,-5.380783,-1.641548,-2.48E+04,-3.01E+00,,,,,,
44.04999889,-5.380783,-1.641548,-2.48E+04,-3.01E+00,,,,,,
44.09999889,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
44.14999888,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
44.19999888,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
44.24999888,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
44.29999888,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
44.34999888,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
44.39999888,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
44.44999888,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
44.49999888,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
44.54999887,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
44.59999887,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
44.64999887,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
44.69999887,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
44.74999887,-4.985236,-1.6258,-2.30E+04,-2.98E+00,,,,,,
44.79999887,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
44.84999887,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
44.89999887,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
44.94999886,-4.826833,-1.60999,-2.22E+04,-2.95E+00,,,,,,
44.99999886,-4.747786,-1.60999,-2.19E+04,-2.95E+00,,,,,,
45.04999886,-4.747786,-1.594181,-2.19E+04,-2.92E+00,,,,,,
45.09999886,-4.668737,-1.594181,-2.15E+04,-2.92E+00,,,,,,
45.14999886,-4.589382,-1.594181,-2.11E+04,-2.92E+00,,,,,,
45.19999886,-4.589382,-1.594181,-2.11E+04,-2.92E+00,,,,,,
45.24999886,-4.510335,-1.578433,-2.08E+04,-2.89E+00,,,,,,
45.29999886,-4.431287,-1.578433,-2.04E+04,-2.89E+00,,,,,,
45.34999885,-4.352239,-1.578433,-2.01E+04,-2.89E+00,,,,,,
45.39999885,-4.272884,-1.578433,-1.97E+04,-2.89E+00,,,,,,
45.44999885,-4.272884,-1.578433,-1.97E+04,-2.89E+00,,,,,,
45.49999885,-4.193836,-1.562623,-1.93E+04,-2.87E+00,,,,,,
45.54999885,-4.114789,-1.562623,-1.90E+04,-2.87E+00,,,,,,
45.59999885,-4.114789,-1.562623,-1.90E+04,-2.87E+00,,,,,,
45.64999885,-4.035433,-1.562623,-1.86E+04,-2.87E+00,,,,,,
45.69999885,-4.035433,-1.546875,-1.86E+04,-2.84E+00,,,,,,
45.74999884,-3.956385,-1.546875,-1.82E+04,-2.84E+00,,,,,,
45.79999884,-3.877337,-1.546875,-1.79E+04,-2.84E+00,,,,,,
45.84999884,-3.79829,-1.546875,-1.75E+04,-2.84E+00,,,,,,
45.89999884,-3.79829,-1.531065,-1.75E+04,-2.81E+00,,,,,,
45.94999884,-3.718935,-1.531065,-1.71E+04,-2.81E+00,,,,,,
45.99999884,-3.639887,-1.531065,-1.68E+04,-2.81E+00,,,,,,
46.04999884,-3.639887,-1.531065,-1.68E+04,-2.81E+00,,,,,,
46.09999884,-3.560839,-1.531065,-1.64E+04,-2.81E+00,,,,,,
46.14999883,-3.481791,-1.515317,-1.60E+04,-2.78E+00,,,,,,
46.19999883,-3.402436,-1.515317,-1.57E+04,-2.78E+00,,,,,,
46.24999883,-3.402436,-1.515317,-1.57E+04,-2.78E+00,,,,,,
46.29999883,-3.323388,-1.499508,-1.53E+04,-2.75E+00,,,,,,
46.34999883,-3.24434,-1.499508,-1.50E+04,-2.75E+00,,,,,,
46.39999883,-3.164985,-1.499508,-1.46E+04,-2.75E+00,,,,,,
46.44999883,-3.164985,-1.499508,-1.46E+04,-2.75E+00,,,,,,
46.49999883,-3.085938,-1.483698,-1.42E+04,-2.72E+00,,,,,,
46.54999882,-3.00689,-1.483698,-1.39E+04,-2.72E+00,,,,,,
46.59999882,-2.927842,-1.483698,-1.35E+04,-2.72E+00,,,,,,
46.64999882,-2.848487,-1.46795,-1.31E+04,-2.69E+00,,,,,,
46.69999882,-2.848487,-1.46795,-1.31E+04,-2.69E+00,,,,,,
46.74999882,-2.769439,-1.46795,-1.28E+04,-2.69E+00,,,,,,
46.79999882,-2.690391,-1.452141,-1.24E+04,-2.66E+00,,,,,,
46.84999882,-2.611344,-1.452141,-1.20E+04,-2.66E+00,,,,,,
46.89999882,-2.611344,-1.436393,-1.20E+04,-2.63E+00,,,,,,
46.94999881,-2.531988,-1.436393,-1.17E+04,-2.63E+00,,,,,,
46.99999881,-2.45294,-1.436393,-1.13E+04,-2.63E+00,,,,,,
47.04999881,-2.373893,-1.420583,-1.09E+04,-2.61E+00,,,,,,
47.09999881,-2.294538,-1.420583,-1.06E+04,-2.61E+00,,,,,,
47.14999881,-2.21549,-1.420583,-1.02E+04,-2.61E+00,,,,,,
47.19999881,-2.21549,-1.404774,-1.02E+04,-2.58E+00,,,,,,
47.24999881,-2.136442,-1.404774,-9.85E+03,-2.58E+00,,,,,,
47.29999881,-1.978039,-1.389026,-9.12E+03,-2.55E+00,,,,,,
47.3499988,-1.978039,-1.389026,-9.12E+03,-2.55E+00,,,,,,
47.3999988,-1.898991,-1.373216,-8.75E+03,-2.52E+00,,,,,,
47.4499988,-1.819943,-1.373216,-8.39E+03,-2.52E+00,,,,,,
47.4999988,-1.66154,-1.357468,-7.66E+03,-2.49E+00,,,,,,
47.5499988,-1.66154,-1.341659,-7.66E+03,-2.46E+00,,,,,,
47.5999988,-1.503445,-1.341659,-6.93E+03,-2.46E+00,,,,,,
47.6499988,-1.42409,-1.325849,-6.56E+03,-2.43E+00,,,,,,
47.69999879,-1.345042,-1.310101,-6.20E+03,-2.40E+00,,,,,,
47.74999879,-1.265994,-1.294291,-5.83E+03,-2.37E+00,,,,,,
47.79999879,-1.186946,-1.294291,-5.47E+03,-2.37E+00,,,,,,
47.84999879,-1.107591,-1.278543,-5.10E+03,-2.34E+00,,,,,,
47.89999879,-1.028543,-1.262734,-4.74E+03,-2.32E+00,,,,,,
47.94999879,-0.9494956,-1.246924,-4.38E+03,-2.29E+00,,,,,,
47.99999879,-0.8704478,-1.231176,-4.01E+03,-2.26E+00,,,,,,
48.04999879,-0.7910925,-1.215367,-3.65E+03,-2.23E+00,,,,,,
48.09999878,-0.7120448,-1.183809,-3.28E+03,-2.17E+00,,,,,,
48.14999878,-0.7120448,-1.168,-3.28E+03,-2.14E+00,,,,,,
48.19999878,-0.6329971,-1.152251,-2.92E+03,-2.11E+00,,,,,,
48.24999878,-0.5536417,-1.120694,-2.55E+03,-2.06E+00,,,,,,
48.29999878,-0.5536417,-1.104884,-2.55E+03,-2.03E+00,,,,,,
48.34999878,-0.474594,-1.089075,-2.19E+03,-2.00E+00,,,,,,
48.39999878,-0.474594,-1.057517,-2.19E+03,-1.94E+00,,,,,,
48.44999878,-0.474594,-1.02596,-2.19E+03,-1.88E+00,,,,,,
48.49999877,-0.3955463,-1.010212,-1.82E+03,-1.85E+00,,,,,,
48.54999877,-0.3164985,-0.9785925,-1.46E+03,-1.79E+00,,,,,,
48.59999877,-0.3164985,-0.947035,-1.46E+03,-1.74E+00,,,,,,
48.64999877,-0.2371432,-0.9154773,-1.09E+03,-1.68E+00,,,,,,
48.69999877,-0.2371432,-0.8839197,-1.09E+03,-1.62E+00,,,,,,
48.74999877,-0.1580955,-0.8681102,-7.29E+02,-1.59E+00,,,,,,
48.79999877,-0.07904774,-0.8365527,-3.64E+02,-1.53E+00,,,,,,
48.84999877,-0.07904774,-0.8049951,-3.64E+02,-1.48E+00,,,,,,
48.89999876,0,-0.7734375,0.00E+00,-1.42E+00,,,,,,
48.94999876,0.07904774,-0.7418184,3.64E+02,-1.36E+00,,,,,,
48.99999876,0.07904774,-0.7102608,3.64E+02,-1.30E+00,,,,,,
49.04999876,0.1580955,-0.6787032,7.29E+02,-1.24E+00,,,,,,
49.09999876,0.2371432,-0.6471456,1.09E+03,-1.19E+00,,,,,,
49.14999876,0.2371432,-0.6155881,1.09E+03,-1.13E+00,,,,,,
49.19999876,0.3164985,-0.568221,1.46E+03,-1.04E+00,,,,,,
49.24999876,0.3955463,-0.5366634,1.82E+03,-9.84E-01,,,,,,
49.29999875,0.3955463,-0.5051058,1.82E+03,-9.26E-01,,,,,,
49.34999875,0.474594,-0.4734867,2.19E+03,-8.68E-01,,,,,,
49.39999875,0.5536417,-0.4261811,2.55E+03,-7.82E-01,,,,,,
49.44999875,0.6329971,-0.394562,2.92E+03,-7.24E-01,,,,,,
49.49999875,0.7120448,-0.3630044,3.28E+03,-6.66E-01,,,,,,
49.54999875,0.7120448,-0.3314469,3.28E+03,-6.08E-01,,,,,,
49.59999875,0.7910925,-0.2840797,3.65E+03,-5.21E-01,,,,,,
49.64999875,0.8704478,-0.2367126,4.01E+03,-4.34E-01,,,,,,
49.69999874,0.8704478,-0.205155,4.01E+03,-3.76E-01,,,,,,
49.74999874,0.9494956,-0.1735975,4.38E+03,-3.18E-01,,,,,,
49.79999874,1.028543,-0.1262303,4.74E+03,-2.32E-01,,,,,,
49.84999874,1.107591,-0.09467274,5.10E+03,-1.74E-01,,,,,,
49.89999874,1.186946,-0.04730561,5.47E+03,-8.68E-02,,,,,,
49.94999874,1.265994,-0.01574803,5.83E+03,-2.89E-02,,,,,,
49.99999874,1.265994,0.03155758,5.83E+03,5.79E-02,,,,,,
50.04999874,1.345042,0.06311516,6.20E+03,1.16E-01,,,,,,
50.09999873,1.42409,0.1104823,6.56E+03,2.03E-01,,,,,,
50.14999873,1.503445,0.1420399,6.93E+03,2.61E-01,,,,,,
